#    L    TT             EE             BB             TE          
   348    0.24078E+04    0.16613E+02    0.32112E-01    0.87356E+02
   349    0.23832E+04    0.16758E+02    0.32214E-01    0.86066E+02
   350    0.23590E+04    0.16900E+02    0.32316E-01    0.84756E+02
   351    0.23353E+04    0.17041E+02    0.32418E-01    0.83417E+02
   352    0.23117E+04    0.17180E+02    0.32519E-01    0.82050E+02
   353    0.22886E+04    0.17316E+02    0.32620E-01    0.80669E+02
   354    0.22657E+04    0.17449E+02    0.32721E-01    0.79253E+02
   355    0.22433E+04    0.17581E+02    0.32822E-01    0.77815E+02
   356    0.22212E+04    0.17710E+02    0.32922E-01    0.76364E+02
   357    0.21994E+04    0.17837E+02    0.33023E-01    0.74885E+02
   358    0.21781E+04    0.17960E+02    0.33123E-01    0.73392E+02
   359    0.21571E+04    0.18081E+02    0.33224E-01    0.71870E+02
   360    0.21364E+04    0.18200E+02    0.33324E-01    0.70330E+02
   361    0.21162E+04    0.18317E+02    0.33424E-01    0.68769E+02
   362    0.20963E+04    0.18430E+02    0.33525E-01    0.67189E+02
   363    0.20768E+04    0.18541E+02    0.33625E-01    0.65591E+02
   364    0.20577E+04    0.18649E+02    0.33725E-01    0.63974E+02
   365    0.20390E+04    0.18754E+02    0.33826E-01    0.62341E+02
   366    0.20207E+04    0.18856E+02    0.33926E-01    0.60691E+02
   367    0.20028E+04    0.18954E+02    0.34026E-01    0.59025E+02
   368    0.19852E+04    0.19050E+02    0.34127E-01    0.57345E+02
   369    0.19682E+04    0.19143E+02    0.34228E-01    0.55649E+02
   370    0.19515E+04    0.19232E+02    0.34329E-01    0.53941E+02
   371    0.19352E+04    0.19319E+02    0.34430E-01    0.52219E+02
   372    0.19193E+04    0.19402E+02    0.34531E-01    0.50486E+02
   373    0.19038E+04    0.19482E+02    0.34632E-01    0.48740E+02
   374    0.18888E+04    0.19559E+02    0.34734E-01    0.46983E+02
   375    0.18741E+04    0.19632E+02    0.34836E-01    0.45217E+02
   376    0.18599E+04    0.19703E+02    0.34938E-01    0.43441E+02
   377    0.18461E+04    0.19769E+02    0.35041E-01    0.41658E+02
   378    0.18326E+04    0.19833E+02    0.35143E-01    0.39865E+02
   379    0.18196E+04    0.19893E+02    0.35246E-01    0.38066E+02
