#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.210518E-02   0.203504E+08   0.203463E+08   0.963193E+05  -0.146271E+06   0.190200E+08   0.203435E+08   0.203498E+08   0.203435E+08  -0.485364E+00   0.112428E+08   0.112420E+08   0.113319E+03
   0.232419E-02   0.203847E+08   0.203805E+08   0.104718E+06  -0.106735E+06   0.188595E+08   0.203768E+08   0.203840E+08   0.203768E+08  -0.486572E+00   0.113417E+08   0.113410E+08   0.101462E+03
   0.256599E-02   0.204127E+08   0.204084E+08   0.637794E+05  -0.773400E+05   0.186783E+08   0.204038E+08   0.204120E+08   0.204038E+08  -0.487597E+00   0.114341E+08   0.114334E+08   0.916210E+02
   0.283295E-02   0.204318E+08   0.204273E+08   0.527124E+05  -0.557326E+05   0.184749E+08   0.204218E+08   0.204310E+08   0.204218E+08  -0.488372E+00   0.115173E+08   0.115166E+08   0.833280E+02
   0.312768E-02   0.204391E+08   0.204344E+08   0.404607E+05  -0.399801E+05   0.182471E+08   0.204280E+08   0.204383E+08   0.204280E+08  -0.488830E+00   0.115891E+08   0.115884E+08   0.759416E+02
   0.345308E-02   0.204318E+08   0.204268E+08   0.268150E+05  -0.285552E+05   0.179922E+08   0.204194E+08   0.204310E+08   0.204194E+08  -0.488900E+00   0.116473E+08   0.116466E+08   0.689415E+02
   0.381233E-02   0.204068E+08   0.204015E+08   0.159209E+05  -0.203241E+05   0.177073E+08   0.203932E+08   0.204059E+08   0.203932E+08  -0.488512E+00   0.116899E+08   0.116892E+08   0.622034E+02
   0.420895E-02   0.203611E+08   0.203555E+08   0.188417E+05  -0.144371E+05   0.173892E+08   0.203461E+08   0.203602E+08   0.203461E+08  -0.487595E+00   0.117151E+08   0.117143E+08   0.559797E+02
   0.464684E-02   0.202918E+08   0.202857E+08   0.121884E+05  -0.102471E+05   0.170352E+08   0.202753E+08   0.202907E+08   0.202753E+08  -0.486078E+00   0.117210E+08   0.117203E+08   0.505326E+02
   0.513028E-02   0.201956E+08   0.201890E+08   0.761957E+04  -0.727792E+04   0.166440E+08   0.201777E+08   0.201945E+08   0.201777E+08  -0.483891E+00   0.117060E+08   0.117053E+08   0.457824E+02
   0.566402E-02   0.200702E+08   0.200630E+08   0.694194E+04  -0.518067E+04   0.161894E+08   0.200506E+08   0.200690E+08   0.200506E+08  -0.480974E+00   0.116689E+08   0.116682E+08   0.414350E+02
   0.625329E-02   0.199113E+08   0.199034E+08   0.473491E+04  -0.370126E+04   0.157014E+08   0.198901E+08   0.199100E+08   0.198901E+08  -0.477232E+00   0.116075E+08   0.116068E+08   0.373991E+02
   0.690386E-02   0.197164E+08   0.197076E+08   0.340762E+04  -0.265792E+04   0.151649E+08   0.196934E+08   0.197149E+08   0.196934E+08  -0.472604E+00   0.115206E+08   0.115199E+08   0.338101E+02
   0.762212E-02   0.194824E+08   0.194725E+08   0.129308E+04  -0.192090E+04   0.145855E+08   0.194575E+08   0.194807E+08   0.194575E+08  -0.467020E+00   0.114068E+08   0.114061E+08   0.306209E+02
   0.841510E-02   0.192061E+08   0.191949E+08   0.696066E+03  -0.139853E+04   0.139689E+08   0.191794E+08   0.192042E+08   0.191794E+08  -0.460408E+00   0.112646E+08   0.112639E+08   0.277114E+02
   0.929058E-02   0.188847E+08   0.188720E+08   0.888173E+03  -0.102645E+04   0.133120E+08   0.188562E+08   0.188825E+08   0.188562E+08  -0.452699E+00   0.110926E+08   0.110919E+08   0.251119E+02
   0.102571E-01   0.185150E+08   0.185006E+08   0.189889E+03  -0.759621E+03   0.126120E+08   0.184847E+08   0.185126E+08   0.184847E+08  -0.443822E+00   0.108893E+08   0.108886E+08   0.227802E+02
   0.113243E-01   0.180941E+08   0.180776E+08   0.655650E+03  -0.566691E+03   0.118734E+08   0.180619E+08   0.180913E+08   0.180619E+08  -0.433705E+00   0.106532E+08   0.106525E+08   0.206856E+02
   0.125024E-01   0.176188E+08   0.175999E+08   0.440362E+03  -0.425893E+03   0.111021E+08   0.175848E+08   0.176156E+08   0.175848E+08  -0.422276E+00   0.103827E+08   0.103820E+08   0.188086E+02
   0.138031E-01   0.170864E+08   0.170648E+08   0.154985E+03  -0.322113E+03   0.103031E+08   0.170507E+08   0.170828E+08   0.170507E+08  -0.409473E+00   0.100766E+08   0.100759E+08   0.171223E+02
   0.152392E-01   0.164947E+08   0.164700E+08   0.177199E+03  -0.244840E+03   0.947927E+07   0.164574E+08   0.164906E+08   0.164574E+08  -0.395241E+00   0.973376E+07   0.973305E+07   0.156017E+02
   0.168246E-01   0.158605E+08   0.158324E+08   0.826597E+01  -0.186954E+03   0.865184E+07   0.158216E+08   0.158557E+08   0.158216E+08  -0.379988E+00   0.936427E+07   0.936356E+07   0.142360E+02
   0.185750E-01   0.151509E+08   0.151192E+08  -0.359798E+02  -0.142880E+03   0.780987E+07   0.151109E+08   0.151456E+08   0.151109E+08  -0.362928E+00   0.894902E+07   0.894829E+07   0.129775E+02
   0.205075E-01   0.143830E+08   0.143474E+08   0.113014E+03  -0.109204E+03   0.697357E+07   0.143420E+08   0.143770E+08   0.143420E+08  -0.344469E+00   0.849816E+07   0.849743E+07   0.118124E+02
   0.226410E-01   0.135476E+08   0.135082E+08   0.336338E+02  -0.832537E+02   0.614857E+07   0.135060E+08   0.135410E+08   0.135060E+08  -0.324398E+00   0.800654E+07   0.800581E+07   0.107101E+02
   0.249965E-01   0.126785E+08   0.126355E+08  -0.243354E+02  -0.633319E+02   0.536051E+07   0.126367E+08   0.126713E+08   0.126367E+08  -0.303522E+00   0.749424E+07   0.749351E+07   0.965756E+01
   0.275971E-01   0.117869E+08   0.117409E+08  -0.509152E+01  -0.480239E+02   0.462051E+07   0.117453E+08   0.117791E+08   0.117453E+08  -0.282115E+00   0.696806E+07   0.696735E+07   0.863334E+01
   0.304682E-01   0.108769E+08   0.108289E+08   0.207850E+02  -0.362439E+02   0.393496E+07   0.108360E+08   0.108689E+08   0.108360E+08  -0.260279E+00   0.643067E+07   0.642997E+07   0.761323E+01
   0.336380E-01   0.997666E+07   0.992800E+07   0.215036E+02  -0.272445E+02   0.331604E+07   0.993701E+07   0.996849E+07   0.993701E+07  -0.238687E+00   0.589877E+07   0.589810E+07   0.658975E+01
   0.371376E-01   0.912362E+07   0.907622E+07  -0.256705E+02  -0.204501E+02   0.277415E+07   0.908565E+07   0.911566E+07   0.908565E+07  -0.218239E+00   0.539470E+07   0.539408E+07   0.556758E+01
   0.410013E-01   0.834352E+07   0.829950E+07  -0.119982E+02  -0.153675E+02   0.231094E+07   0.830762E+07   0.833613E+07   0.830762E+07  -0.199551E+00   0.493379E+07   0.493322E+07   0.456171E+01
   0.451014E-01   0.767996E+07   0.764119E+07   0.246811E+03  -0.117171E+02   0.193663E+07   0.764630E+07   0.767345E+07   0.764630E+07  -0.183667E+00   0.454186E+07   0.454137E+07   0.363834E+01
   0.492015E-01   0.716357E+07   0.713090E+07   0.193451E+03  -0.920698E+01   0.165246E+07   0.713203E+07   0.715808E+07   0.713203E+07  -0.171315E+00   0.423701E+07   0.423659E+07   0.287096E+01
   0.533016E-01   0.674835E+07   0.672178E+07   0.155285E+03  -0.740936E+01   0.143006E+07   0.671874E+07   0.674389E+07   0.671874E+07  -0.161388E+00   0.399197E+07   0.399161E+07   0.225938E+01
   0.574018E-01   0.639836E+07   0.637716E+07   0.126954E+03  -0.607261E+01   0.125037E+07   0.637046E+07   0.639480E+07   0.637046E+07  -0.153022E+00   0.378542E+07   0.378512E+07   0.179691E+01
   0.615019E-01   0.608577E+07   0.606868E+07   0.105188E+03  -0.504355E+01   0.110054E+07   0.605932E+07   0.608290E+07   0.605932E+07  -0.145549E+00   0.360086E+07   0.360059E+07   0.146850E+01
