#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.561892E-01   0.482477E+07   0.479910E+07   0.525150E+02  -0.384599E+02   0.843861E+06   0.480272E+07   0.482071E+07   0.480272E+07  -0.113421E+00   0.252260E+07   0.252227E+07   0.193727E+01
   0.605115E-01   0.453917E+07   0.451862E+07   0.425977E+02  -0.312092E+02   0.728691E+06   0.451870E+07   0.453592E+07   0.451870E+07  -0.106714E+00   0.237348E+07   0.237321E+07   0.151411E+01
   0.648337E-01   0.428487E+07   0.426822E+07   0.350260E+02  -0.256710E+02   0.633819E+06   0.426574E+07   0.428224E+07   0.426574E+07  -0.100740E+00   0.224068E+07   0.224044E+07   0.121842E+01
   0.691560E-01   0.404535E+07   0.403114E+07   0.290607E+02  -0.213061E+02   0.553300E+06   0.402732E+07   0.404311E+07   0.402732E+07  -0.951092E-01   0.211549E+07   0.211528E+07   0.102882E+01
   0.734782E-01   0.380896E+07   0.379580E+07   0.242345E+02  -0.177733E+02   0.483259E+06   0.379185E+07   0.380688E+07   0.379185E+07  -0.895482E-01   0.199184E+07   0.199164E+07   0.919315E+00
   0.778005E-01   0.357695E+07   0.356369E+07   0.202959E+02  -0.148894E+02   0.422221E+06   0.356059E+07   0.357485E+07   0.356059E+07  -0.840870E-01   0.187041E+07   0.187021E+07   0.864085E+00
   0.821227E-01   0.334364E+07   0.332953E+07   0.170236E+02  -0.124925E+02   0.368191E+06   0.332796E+07   0.334141E+07   0.332796E+07  -0.785932E-01   0.174824E+07   0.174803E+07   0.837034E+00
   0.864450E-01   0.311959E+07   0.310433E+07   0.143307E+02  -0.105193E+02   0.321273E+06   0.310454E+07   0.311718E+07   0.310454E+07  -0.733167E-01   0.163090E+07   0.163069E+07   0.818959E+00
   0.907672E-01   0.291114E+07   0.289484E+07   0.121268E+02  -0.890390E+01   0.281051E+06   0.289668E+07   0.290857E+07   0.289668E+07  -0.684080E-01   0.152173E+07   0.152152E+07   0.795576E+00
   0.961457E-01   0.268083E+07   0.266388E+07   0.995037E+01  -0.730794E+01   0.239561E+06   0.266712E+07   0.267815E+07   0.266712E+07  -0.629868E-01   0.140116E+07   0.140095E+07   0.747407E+00
   0.101524E+00   0.248854E+07   0.247192E+07   0.828250E+01  -0.608438E+01   0.206490E+06   0.247561E+07   0.248592E+07   0.247561E+07  -0.584639E-01   0.130057E+07   0.130036E+07   0.675618E+00
   0.106903E+00   0.233572E+07   0.232038E+07   0.701084E+01  -0.515110E+01   0.180492E+06   0.232356E+07   0.233329E+07   0.232356E+07  -0.548731E-01   0.122070E+07   0.122052E+07   0.587016E+00
   0.112281E+00   0.221666E+07   0.220328E+07   0.603148E+01  -0.443211E+01   0.159955E+06   0.220525E+07   0.221454E+07   0.220525E+07  -0.520792E-01   0.115856E+07   0.115840E+07   0.493420E+00
   0.117660E+00   0.212050E+07   0.210929E+07   0.525479E+01  -0.386176E+01   0.143244E+06   0.210979E+07   0.211873E+07   0.210979E+07  -0.498248E-01   0.110842E+07   0.110828E+07   0.407027E+00
   0.123038E+00   0.203522E+07   0.202597E+07   0.461254E+01  -0.339007E+01   0.128996E+06   0.202514E+07   0.203376E+07   0.202514E+07  -0.478258E-01   0.106396E+07   0.106383E+07   0.337003E+00
   0.128416E+00   0.195136E+07   0.194351E+07   0.405995E+01  -0.298422E+01   0.116288E+06   0.194182E+07   0.195012E+07   0.194182E+07  -0.458581E-01   0.102019E+07   0.102008E+07   0.287719E+00
   0.133795E+00   0.186354E+07   0.185641E+07   0.357171E+01  -0.262563E+01   0.104618E+06   0.185446E+07   0.186241E+07   0.185446E+07  -0.437950E-01   0.974304E+06   0.974200E+06   0.258574E+00
   0.139173E+00   0.177064E+07   0.176358E+07   0.313614E+01  -0.230572E+01   0.938084E+05   0.176195E+07   0.176953E+07   0.176195E+07  -0.416101E-01   0.925704E+06   0.925602E+06   0.245084E+00
   0.144552E+00   0.167481E+07   0.166739E+07   0.274938E+01  -0.202164E+01   0.838792E+05   0.166645E+07   0.167364E+07   0.166645E+07  -0.393548E-01   0.875537E+06   0.875432E+06   0.240722E+00
   0.149930E+00   0.158004E+07   0.157210E+07   0.241065E+01  -0.177281E+01   0.749256E+05   0.157198E+07   0.157879E+07   0.157198E+07  -0.371240E-01   0.825914E+06   0.825807E+06   0.238864E+00
   0.155309E+00   0.149109E+07   0.148271E+07   0.211976E+01  -0.155908E+01   0.670507E+05   0.148333E+07   0.148976E+07   0.148333E+07  -0.350303E-01   0.779341E+06   0.779232E+06   0.234383E+00
   0.160687E+00   0.141238E+07   0.140385E+07   0.187547E+01  -0.137955E+01   0.603152E+05   0.140492E+07   0.141103E+07   0.140492E+07  -0.331786E-01   0.738149E+06   0.738041E+06   0.224519E+00
   0.166066E+00   0.134642E+07   0.133811E+07   0.167385E+01  -0.123134E+01   0.546821E+05   0.133927E+07   0.134510E+07   0.133927E+07  -0.316282E-01   0.703660E+06   0.703556E+06   0.208937E+00
   0.171444E+00   0.129271E+07   0.128495E+07   0.150783E+01  -0.110927E+01   0.499959E+05   0.128587E+07   0.129148E+07   0.128587E+07  -0.303670E-01   0.675604E+06   0.675507E+06   0.189184E+00
   0.176823E+00   0.124840E+07   0.124140E+07   0.136898E+01  -0.100715E+01   0.460364E+05   0.124186E+07   0.124729E+07   0.124186E+07  -0.293277E-01   0.652484E+06   0.652395E+06   0.167853E+00
   0.182201E+00   0.120993E+07   0.120374E+07   0.124971E+01  -0.919423E+00   0.425924E+05   0.120367E+07   0.120895E+07   0.120367E+07  -0.284259E-01   0.632423E+06   0.632342E+06   0.147705E+00
   0.187580E+00   0.117395E+07   0.116847E+07   0.114408E+01  -0.841735E+00   0.394933E+05   0.116796E+07   0.117308E+07   0.116796E+07  -0.275825E-01   0.613659E+06   0.613585E+06   0.130910E+00
   0.192958E+00   0.113759E+07   0.113261E+07   0.104774E+01  -0.770876E+00   0.366103E+05   0.113182E+07   0.113680E+07   0.113182E+07  -0.267292E-01   0.594676E+06   0.594608E+06   0.118580E+00
   0.198336E+00   0.109895E+07   0.109424E+07   0.957996E+00  -0.704879E+00   0.338658E+05   0.109339E+07   0.109821E+07   0.109339E+07  -0.258215E-01   0.574485E+06   0.574419E+06   0.110685E+00
   0.203715E+00   0.105781E+07   0.105315E+07   0.874042E+00  -0.643143E+00   0.312432E+05   0.105243E+07   0.105707E+07   0.105243E+07  -0.248543E-01   0.552967E+06   0.552902E+06   0.106298E+00
   0.209093E+00   0.101541E+07   0.101065E+07   0.796340E+00  -0.586006E+00   0.287700E+05   0.101020E+07   0.101466E+07   0.101020E+07  -0.238569E-01   0.530780E+06   0.530715E+06   0.103993E+00
   0.214472E+00   0.973627E+06   0.968710E+06   0.725685E+00  -0.534047E+00   0.264856E+05   0.968570E+06   0.972850E+06   0.968570E+06  -0.228737E-01   0.508908E+06   0.508842E+06   0.102272E+00
   0.219850E+00   0.934215E+06   0.929184E+06   0.662600E+00  -0.487651E+00   0.244201E+05   0.929308E+06   0.933420E+06   0.929308E+06  -0.219465E-01   0.488280E+06   0.488215E+06   0.999231E-01
   0.225229E+00   0.898537E+06   0.893495E+06   0.607184E+00  -0.446889E+00   0.225879E+05   0.893782E+06   0.897741E+06   0.893782E+06  -0.211076E-01   0.469616E+06   0.469551E+06   0.962588E-01
   0.230607E+00   0.867315E+06   0.862390E+06   0.559050E+00  -0.411477E+00   0.209845E+05   0.862712E+06   0.866537E+06   0.862712E+06  -0.203738E-01   0.453292E+06   0.453229E+06   0.911632E-01
   0.235986E+00   0.840445E+06   0.835751E+06   0.517320E+00  -0.380771E+00   0.195858E+05   0.835994E+06   0.839703E+06   0.835994E+06  -0.197428E-01   0.439254E+06   0.439194E+06   0.849942E-01
   0.241364E+00   0.817106E+06   0.812718E+06   0.480803E+00  -0.353898E+00   0.183543E+05   0.812803E+06   0.816413E+06   0.812803E+06  -0.191952E-01   0.427070E+06   0.427013E+06   0.783891E-01
   0.246743E+00   0.796085E+06   0.792022E+06   0.448253E+00  -0.329942E+00   0.172481E+05   0.791923E+06   0.795443E+06   0.791923E+06  -0.187021E-01   0.416099E+06   0.416046E+06   0.720447E-01
   0.252121E+00   0.776087E+06   0.772316E+06   0.418562E+00  -0.308091E+00   0.162293E+05   0.772057E+06   0.775491E+06   0.772057E+06  -0.182329E-01   0.405662E+06   0.405611E+06   0.665261E-01
   0.257500E+00   0.756008E+06   0.752458E+06   0.390886E+00  -0.287724E+00   0.152683E+05   0.752100E+06   0.755447E+06   0.752100E+06  -0.177616E-01   0.395176E+06   0.395128E+06   0.621479E-01
   0.262878E+00   0.735225E+06   0.731810E+06   0.364743E+00  -0.268487E+00   0.143487E+05   0.731427E+06   0.734685E+06   0.731427E+06  -0.172734E-01   0.384314E+06   0.384268E+06   0.589445E-01
