#    L    TT             EE             TE             PP             TP          
   155    0.42789E+04    0.99573E+00   -0.43318E+02    0.32999E+07    0.36391E+04
   156    0.43084E+04    0.98911E+00   -0.43232E+02    0.32808E+07    0.36058E+04
   157    0.43377E+04    0.98213E+00   -0.43120E+02    0.32619E+07    0.35727E+04
   158    0.43668E+04    0.97487E+00   -0.42985E+02    0.32431E+07    0.35401E+04
   159    0.43957E+04    0.96718E+00   -0.42826E+02    0.32245E+07    0.35077E+04
   160    0.44243E+04    0.95920E+00   -0.42641E+02    0.32061E+07    0.34757E+04
   161    0.44527E+04    0.95101E+00   -0.42432E+02    0.31878E+07    0.34440E+04
   162    0.44808E+04    0.94247E+00   -0.42198E+02    0.31696E+07    0.34126E+04
   163    0.45088E+04    0.93363E+00   -0.41940E+02    0.31516E+07    0.33816E+04
   164    0.45363E+04    0.92458E+00   -0.41657E+02    0.31338E+07    0.33509E+04
   165    0.45637E+04    0.91524E+00   -0.41348E+02    0.31161E+07    0.33206E+04
   166    0.45908E+04    0.90576E+00   -0.41014E+02    0.30985E+07    0.32906E+04
   167    0.46177E+04    0.89592E+00   -0.40655E+02    0.30811E+07    0.32609E+04
   168    0.46442E+04    0.88608E+00   -0.40271E+02    0.30638E+07    0.32316E+04
   169    0.46704E+04    0.87595E+00   -0.39860E+02    0.30467E+07    0.32026E+04
   170    0.46962E+04    0.86574E+00   -0.39424E+02    0.30297E+07    0.31740E+04
   171    0.47217E+04    0.85547E+00   -0.38961E+02    0.30128E+07    0.31458E+04
   172    0.47468E+04    0.84505E+00   -0.38472E+02    0.29961E+07    0.31179E+04
   173    0.47714E+04    0.83448E+00   -0.37958E+02    0.29795E+07    0.30903E+04
   174    0.47958E+04    0.82405E+00   -0.37418E+02    0.29631E+07    0.30631E+04
   175    0.48197E+04    0.81348E+00   -0.36852E+02    0.29468E+07    0.30363E+04
   176    0.48432E+04    0.80298E+00   -0.36259E+02    0.29306E+07    0.30099E+04
   177    0.48663E+04    0.79247E+00   -0.35641E+02    0.29146E+07    0.29838E+04
   178    0.48890E+04    0.78219E+00   -0.34997E+02    0.28987E+07    0.29580E+04
   179    0.49112E+04    0.77181E+00   -0.34326E+02    0.28829E+07    0.29326E+04
   180    0.49331E+04    0.76158E+00   -0.33630E+02    0.28672E+07    0.29076E+04
   181    0.49546E+04    0.75149E+00   -0.32910E+02    0.28517E+07    0.28828E+04
   182    0.49756E+04    0.74160E+00   -0.32162E+02    0.28364E+07    0.28584E+04
   183    0.49960E+04    0.73185E+00   -0.31390E+02    0.28211E+07    0.28342E+04
   184    0.50162E+04    0.72231E+00   -0.30593E+02    0.28060E+07    0.28104E+04
   185    0.50359E+04    0.71312E+00   -0.29771E+02    0.27910E+07    0.27869E+04
   186    0.50548E+04    0.70414E+00   -0.28923E+02    0.27761E+07    0.27636E+04
   187    0.50735E+04    0.69551E+00   -0.28050E+02    0.27613E+07    0.27406E+04
   188    0.50918E+04    0.68721E+00   -0.27154E+02    0.27467E+07    0.27179E+04
   189    0.51094E+04    0.67928E+00   -0.26233E+02    0.27321E+07    0.26954E+04
   190    0.51270E+04    0.67177E+00   -0.25289E+02    0.27177E+07    0.26732E+04
   191    0.51436E+04    0.66470E+00   -0.24319E+02    0.27035E+07    0.26512E+04
   192    0.51600E+04    0.65808E+00   -0.23325E+02    0.26893E+07    0.26295E+04
   193    0.51757E+04    0.65197E+00   -0.22309E+02    0.26752E+07    0.26080E+04
   194    0.51911E+04    0.64640E+00   -0.21270E+02    0.26613E+07    0.25867E+04
   195    0.52059E+04    0.64138E+00   -0.20208E+02    0.26474E+07    0.25656E+04
   196    0.52202E+04    0.63697E+00   -0.19123E+02    0.26337E+07    0.25447E+04
   197    0.52340E+04    0.63320E+00   -0.18017E+02    0.26201E+07    0.25239E+04
   198    0.52474E+04    0.63010E+00   -0.16888E+02    0.26066E+07    0.25034E+04
   199    0.52602E+04    0.62770E+00   -0.15739E+02    0.25932E+07    0.24830E+04
   200    0.52726E+04    0.62602E+00   -0.14569E+02    0.25799E+07    0.24628E+04
   201    0.52844E+04    0.62514E+00   -0.13377E+02    0.25667E+07    0.24428E+04
   202    0.52957E+04    0.62504E+00   -0.12165E+02    0.25536E+07    0.24229E+04
   203    0.53064E+04    0.62579E+00   -0.10933E+02    0.25406E+07    0.24032E+04
   204    0.53165E+04    0.62741E+00   -0.96833E+01    0.25277E+07    0.23836E+04
   205    0.53261E+04    0.62995E+00   -0.84133E+01    0.25149E+07    0.23642E+04
   206    0.53351E+04    0.63344E+00   -0.71246E+01    0.25022E+07    0.23449E+04
   207    0.53436E+04    0.63789E+00   -0.58174E+01    0.24897E+07    0.23257E+04
   208    0.53513E+04    0.64337E+00   -0.44925E+01    0.24772E+07    0.23068E+04
   209    0.53585E+04    0.64989E+00   -0.31500E+01    0.24648E+07    0.22879E+04
   210    0.53652E+04    0.65750E+00   -0.17908E+01    0.24525E+07    0.22692E+04
   211    0.53712E+04    0.66623E+00   -0.41495E+00    0.24403E+07    0.22507E+04
   212    0.53765E+04    0.67611E+00    0.97661E+00    0.24282E+07    0.22323E+04
   213    0.53814E+04    0.68719E+00    0.23840E+01    0.24162E+07    0.22140E+04
   214    0.53856E+04    0.69944E+00    0.38060E+01    0.24042E+07    0.21959E+04
   215    0.53892E+04    0.71307E+00    0.52419E+01    0.23924E+07    0.21779E+04
   216    0.53922E+04    0.72789E+00    0.66923E+01    0.23807E+07    0.21601E+04
   217    0.53947E+04    0.74405E+00    0.81552E+01    0.23690E+07    0.21424E+04
   218    0.53966E+04    0.76155E+00    0.96309E+01    0.23575E+07    0.21249E+04
   219    0.53978E+04    0.78039E+00    0.11120E+02    0.23460E+07    0.21075E+04
   220    0.53986E+04    0.80072E+00    0.12619E+02    0.23346E+07    0.20902E+04
   221    0.53987E+04    0.82245E+00    0.14129E+02    0.23233E+07    0.20730E+04
   222    0.53983E+04    0.84575E+00    0.15650E+02    0.23121E+07    0.20560E+04
   223    0.53971E+04    0.87052E+00    0.17181E+02    0.23010E+07    0.20392E+04
   224    0.53955E+04    0.89678E+00    0.18720E+02    0.22900E+07    0.20224E+04
   225    0.53933E+04    0.92467E+00    0.20268E+02    0.22790E+07    0.20058E+04
   226    0.53905E+04    0.95418E+00    0.21824E+02    0.22681E+07    0.19893E+04
   227    0.53871E+04    0.98532E+00    0.23387E+02    0.22574E+07    0.19730E+04
   228    0.53832E+04    0.10181E+01    0.24957E+02    0.22467E+07    0.19567E+04
   229    0.53787E+04    0.10525E+01    0.26532E+02    0.22360E+07    0.19406E+04
   230    0.53735E+04    0.10887E+01    0.28113E+02    0.22255E+07    0.19247E+04
   231    0.53677E+04    0.11266E+01    0.29699E+02    0.22150E+07    0.19088E+04
   232    0.53614E+04    0.11662E+01    0.31289E+02    0.22046E+07    0.18931E+04
   233    0.53545E+04    0.12077E+01    0.32881E+02    0.21943E+07    0.18775E+04
   234    0.53469E+04    0.12510E+01    0.34477E+02    0.21841E+07    0.18621E+04
   235    0.53388E+04    0.12962E+01    0.36073E+02    0.21739E+07    0.18467E+04
   236    0.53301E+04    0.13431E+01    0.37672E+02    0.21638E+07    0.18315E+04
   237    0.53208E+04    0.13920E+01    0.39271E+02    0.21538E+07    0.18164E+04
   238    0.53109E+04    0.14428E+01    0.40870E+02    0.21439E+07    0.18014E+04
   239    0.53005E+04    0.14955E+01    0.42468E+02    0.21340E+07    0.17865E+04
   240    0.52894E+04    0.15501E+01    0.44064E+02    0.21242E+07    0.17717E+04
   241    0.52778E+04    0.16067E+01    0.45657E+02    0.21145E+07    0.17571E+04
   242    0.52657E+04    0.16653E+01    0.47249E+02    0.21049E+07    0.17426E+04
   243    0.52530E+04    0.17258E+01    0.48836E+02    0.20953E+07    0.17282E+04
   244    0.52397E+04    0.17884E+01    0.50419E+02    0.20858E+07    0.17139E+04
   245    0.52259E+04    0.18530E+01    0.51997E+02    0.20763E+07    0.16997E+04
   246    0.52115E+04    0.19196E+01    0.53570E+02    0.20669E+07    0.16856E+04
   247    0.51967E+04    0.19882E+01    0.55135E+02    0.20576E+07    0.16716E+04
   248    0.51812E+04    0.20592E+01    0.56694E+02    0.20484E+07    0.16578E+04
   249    0.51654E+04    0.21320E+01    0.58246E+02    0.20392E+07    0.16440E+04
   250    0.51489E+04    0.22070E+01    0.59788E+02    0.20301E+07    0.16304E+04
   251    0.51321E+04    0.22840E+01    0.61322E+02    0.20210E+07    0.16168E+04
   252    0.51145E+04    0.23631E+01    0.62846E+02    0.20120E+07    0.16034E+04
   253    0.50967E+04    0.24443E+01    0.64359E+02    0.20031E+07    0.15901E+04
   254    0.50783E+04    0.25277E+01    0.65860E+02    0.19942E+07    0.15769E+04
   255    0.50595E+04    0.26130E+01    0.67351E+02    0.19854E+07    0.15637E+04
   256    0.50401E+04    0.27008E+01    0.68830E+02    0.19766E+07    0.15507E+04
   257    0.50204E+04    0.27904E+01    0.70290E+02    0.19679E+07    0.15378E+04
   258    0.50001E+04    0.28822E+01    0.71743E+02    0.19593E+07    0.15250E+04
   259    0.49794E+04    0.29762E+01    0.73175E+02    0.19507E+07    0.15122E+04
   260    0.49584E+04    0.30724E+01    0.74601E+02    0.19422E+07    0.14996E+04
   261    0.49368E+04    0.31706E+01    0.75997E+02    0.19337E+07    0.14871E+04
   262    0.49148E+04    0.32710E+01    0.77387E+02    0.19253E+07    0.14747E+04
   263    0.48926E+04    0.33735E+01    0.78763E+02    0.19169E+07    0.14623E+04
   264    0.48698E+04    0.34782E+01    0.80118E+02    0.19086E+07    0.14501E+04
   265    0.48465E+04    0.35849E+01    0.81443E+02    0.19004E+07    0.14379E+04
   266    0.48229E+04    0.36938E+01    0.82763E+02    0.18922E+07    0.14259E+04
   267    0.47988E+04    0.38047E+01    0.84054E+02    0.18841E+07    0.14139E+04
   268    0.47744E+04    0.39179E+01    0.85330E+02    0.18760E+07    0.14020E+04
   269    0.47494E+04    0.40331E+01    0.86586E+02    0.18680E+07    0.13902E+04
   270    0.47242E+04    0.41503E+01    0.87821E+02    0.18600E+07    0.13785E+04
   271    0.46986E+04    0.42695E+01    0.89034E+02    0.18521E+07    0.13669E+04
   272    0.46728E+04    0.43911E+01    0.90218E+02    0.18442E+07    0.13554E+04
   273    0.46466E+04    0.45143E+01    0.91389E+02    0.18364E+07    0.13440E+04
   274    0.46200E+04    0.46398E+01    0.92525E+02    0.18286E+07    0.13326E+04
   275    0.45931E+04    0.47671E+01    0.93646E+02    0.18209E+07    0.13213E+04
   276    0.45660E+04    0.48964E+01    0.94731E+02    0.18133E+07    0.13102E+04
   277    0.45385E+04    0.50277E+01    0.95803E+02    0.18057E+07    0.12991E+04
   278    0.45107E+04    0.51609E+01    0.96839E+02    0.17981E+07    0.12880E+04
   279    0.44826E+04    0.52960E+01    0.97847E+02    0.17906E+07    0.12771E+04
   280    0.44543E+04    0.54329E+01    0.98841E+02    0.17831E+07    0.12662E+04
   281    0.44258E+04    0.55718E+01    0.99799E+02    0.17757E+07    0.12555E+04
   282    0.43969E+04    0.57123E+01    0.10073E+03    0.17683E+07    0.12448E+04
   283    0.43678E+04    0.58547E+01    0.10163E+03    0.17610E+07    0.12341E+04
   284    0.43385E+04    0.59988E+01    0.10250E+03    0.17537E+07    0.12236E+04
   285    0.43090E+04    0.61448E+01    0.10335E+03    0.17465E+07    0.12131E+04
   286    0.42792E+04    0.62924E+01    0.10416E+03    0.17393E+07    0.12027E+04
   287    0.42492E+04    0.64417E+01    0.10495E+03    0.17322E+07    0.11924E+04
   288    0.42191E+04    0.65926E+01    0.10570E+03    0.17251E+07    0.11821E+04
   289    0.41887E+04    0.67450E+01    0.10643E+03    0.17180E+07    0.11720E+04
   290    0.41582E+04    0.68989E+01    0.10712E+03    0.17110E+07    0.11619E+04
   291    0.41275E+04    0.70550E+01    0.10778E+03    0.17041E+07    0.11518E+04
   292    0.40964E+04    0.72122E+01    0.10841E+03    0.16972E+07    0.11419E+04
   293    0.40655E+04    0.73700E+01    0.10900E+03    0.16903E+07    0.11320E+04
   294    0.40342E+04    0.75300E+01    0.10957E+03    0.16834E+07    0.11221E+04
   295    0.40031E+04    0.76907E+01    0.11010E+03    0.16766E+07    0.11124E+04
   296    0.39716E+04    0.78536E+01    0.11060E+03    0.16699E+07    0.11027E+04
   297    0.39401E+04    0.80164E+01    0.11107E+03    0.16632E+07    0.10930E+04
   298    0.39083E+04    0.81814E+01    0.11149E+03    0.16565E+07    0.10834E+04
   299    0.38766E+04    0.83479E+01    0.11189E+03    0.16499E+07    0.10739E+04
   300    0.38447E+04    0.85143E+01    0.11224E+03    0.16433E+07    0.10645E+04
   301    0.38127E+04    0.86822E+01    0.11257E+03    0.16367E+07    0.10551E+04
   302    0.37807E+04    0.88508E+01    0.11288E+03    0.16302E+07    0.10458E+04
   303    0.37487E+04    0.90208E+01    0.11313E+03    0.16237E+07    0.10365E+04
   304    0.37166E+04    0.91923E+01    0.11335E+03    0.16173E+07    0.10273E+04
   305    0.36845E+04    0.93637E+01    0.11354E+03    0.16109E+07    0.10182E+04
   306    0.36523E+04    0.95359E+01    0.11369E+03    0.16045E+07    0.10091E+04
   307    0.36201E+04    0.97088E+01    0.11380E+03    0.15982E+07    0.10001E+04
   308    0.35879E+04    0.98839E+01    0.11389E+03    0.15919E+07    0.99113E+03
   309    0.35558E+04    0.10058E+02    0.11393E+03    0.15856E+07    0.98224E+03
   310    0.35236E+04    0.10233E+02    0.11394E+03    0.15794E+07    0.97341E+03
   311    0.34915E+04    0.10409E+02    0.11391E+03    0.15732E+07    0.96464E+03
   312    0.34594E+04    0.10585E+02    0.11385E+03    0.15670E+07    0.95593E+03
   313    0.34274E+04    0.10762E+02    0.11375E+03    0.15609E+07    0.94729E+03
   314    0.33954E+04    0.10939E+02    0.11362E+03    0.15548E+07    0.93870E+03
   315    0.33634E+04    0.11116E+02    0.11344E+03    0.15488E+07    0.93018E+03
   316    0.33316E+04    0.11293E+02    0.11323E+03    0.15428E+07    0.92172E+03
   317    0.32998E+04    0.11469E+02    0.11299E+03    0.15368E+07    0.91333E+03
   318    0.32681E+04    0.11648E+02    0.11271E+03    0.15309E+07    0.90499E+03
