#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    97    0.25814E+04   -0.21310E+02   -0.40307E-05   -0.21310E+02    0.70526E+00   -0.13575E-07   -0.40307E-05   -0.13575E-07    0.14580E-10
    98    0.26121E+04   -0.21950E+02   -0.39585E-05   -0.21950E+02    0.71950E+00   -0.13243E-07   -0.39585E-05   -0.13243E-07    0.14197E-10
    99    0.26429E+04   -0.22592E+02   -0.38877E-05   -0.22592E+02    0.73358E+00   -0.12872E-07   -0.38877E-05   -0.12872E-07    0.13827E-10
   100    0.26740E+04   -0.23233E+02   -0.38183E-05   -0.23233E+02    0.74752E+00   -0.12468E-07   -0.38183E-05   -0.12468E-07    0.13469E-10
   101    0.27052E+04   -0.23875E+02   -0.37502E-05   -0.23875E+02    0.76137E+00   -0.12038E-07   -0.37502E-05   -0.12038E-07    0.13124E-10
   102    0.27370E+04   -0.24516E+02   -0.36835E-05   -0.24516E+02    0.77498E+00   -0.11590E-07   -0.36835E-05   -0.11590E-07    0.12791E-10
   103    0.27686E+04   -0.25158E+02   -0.36180E-05   -0.25158E+02    0.78842E+00   -0.11131E-07   -0.36180E-05   -0.11131E-07    0.12469E-10
   104    0.28005E+04   -0.25797E+02   -0.35539E-05   -0.25797E+02    0.80170E+00   -0.10668E-07   -0.35539E-05   -0.10668E-07    0.12159E-10
   105    0.28325E+04   -0.26434E+02   -0.34910E-05   -0.26434E+02    0.81475E+00   -0.10209E-07   -0.34910E-05   -0.10209E-07    0.11858E-10
   106    0.28647E+04   -0.27069E+02   -0.34293E-05   -0.27069E+02    0.82763E+00   -0.97609E-08   -0.34293E-05   -0.97609E-08    0.11567E-10
   107    0.28969E+04   -0.27700E+02   -0.33689E-05   -0.27700E+02    0.84020E+00   -0.93308E-08   -0.33689E-05   -0.93308E-08    0.11286E-10
   108    0.29294E+04   -0.28328E+02   -0.33097E-05   -0.28328E+02    0.85254E+00   -0.89262E-08   -0.33097E-05   -0.89262E-08    0.11013E-10
   109    0.29620E+04   -0.28952E+02   -0.32517E-05   -0.28952E+02    0.86456E+00   -0.85543E-08   -0.32517E-05   -0.85543E-08    0.10749E-10
   110    0.29947E+04   -0.29570E+02   -0.31948E-05   -0.29570E+02    0.87628E+00   -0.82223E-08   -0.31948E-05   -0.82223E-08    0.10493E-10
   111    0.30276E+04   -0.30184E+02   -0.31391E-05   -0.30184E+02    0.88776E+00   -0.79359E-08   -0.31391E-05   -0.79359E-08    0.10244E-10
   112    0.30606E+04   -0.30792E+02   -0.30846E-05   -0.30792E+02    0.89893E+00   -0.76936E-08   -0.30846E-05   -0.76936E-08    0.10002E-10
   113    0.30938E+04   -0.31394E+02   -0.30311E-05   -0.31394E+02    0.90980E+00   -0.74925E-08   -0.30311E-05   -0.74925E-08    0.97673E-11
   114    0.31271E+04   -0.31988E+02   -0.29788E-05   -0.31988E+02    0.92028E+00   -0.73293E-08   -0.29788E-05   -0.73293E-08    0.95393E-11
   115    0.31606E+04   -0.32574E+02   -0.29275E-05   -0.32574E+02    0.93053E+00   -0.72012E-08   -0.29275E-05   -0.72012E-08    0.93180E-11
   116    0.31941E+04   -0.33153E+02   -0.28773E-05   -0.33153E+02    0.94032E+00   -0.71049E-08   -0.28773E-05   -0.71049E-08    0.91031E-11
   117    0.32279E+04   -0.33722E+02   -0.28281E-05   -0.33722E+02    0.94973E+00   -0.70375E-08   -0.28281E-05   -0.70375E-08    0.88944E-11
   118    0.32618E+04   -0.34283E+02   -0.27799E-05   -0.34283E+02    0.95891E+00   -0.69958E-08   -0.27799E-05   -0.69958E-08    0.86919E-11
   119    0.32957E+04   -0.34833E+02   -0.27327E-05   -0.34833E+02    0.96772E+00   -0.69769E-08   -0.27327E-05   -0.69769E-08    0.84952E-11
   120    0.33297E+04   -0.35373E+02   -0.26864E-05   -0.35373E+02    0.97599E+00   -0.69775E-08   -0.26864E-05   -0.69775E-08    0.83043E-11
   121    0.33637E+04   -0.35902E+02   -0.26411E-05   -0.35902E+02    0.98404E+00   -0.69948E-08   -0.26411E-05   -0.69948E-08    0.81189E-11
   122    0.33977E+04   -0.36420E+02   -0.25967E-05   -0.36420E+02    0.99156E+00   -0.70255E-08   -0.25967E-05   -0.70255E-08    0.79389E-11
   123    0.34318E+04   -0.36926E+02   -0.25532E-05   -0.36926E+02    0.99863E+00   -0.70667E-08   -0.25532E-05   -0.70667E-08    0.77641E-11
   124    0.34660E+04   -0.37418E+02   -0.25106E-05   -0.37418E+02    0.10053E+01   -0.71153E-08   -0.25106E-05   -0.71153E-08    0.75943E-11
   125    0.35001E+04   -0.37898E+02   -0.24689E-05   -0.37898E+02    0.10116E+01   -0.71681E-08   -0.24689E-05   -0.71681E-08    0.74294E-11
   126    0.35343E+04   -0.38364E+02   -0.24280E-05   -0.38364E+02    0.10174E+01   -0.72222E-08   -0.24280E-05   -0.72222E-08    0.72690E-11
   127    0.35685E+04   -0.38817E+02   -0.23879E-05   -0.38817E+02    0.10228E+01   -0.72745E-08   -0.23879E-05   -0.72745E-08    0.71132E-11
   128    0.36026E+04   -0.39255E+02   -0.23486E-05   -0.39255E+02    0.10278E+01   -0.73218E-08   -0.23486E-05   -0.73218E-08    0.69616E-11
   129    0.36368E+04   -0.39678E+02   -0.23100E-05   -0.39678E+02    0.10322E+01   -0.73612E-08   -0.23100E-05   -0.73612E-08    0.68142E-11
   130    0.36709E+04   -0.40085E+02   -0.22722E-05   -0.40085E+02    0.10361E+01   -0.73896E-08   -0.22722E-05   -0.73896E-08    0.66707E-11
   131    0.37050E+04   -0.40478E+02   -0.22352E-05   -0.40478E+02    0.10397E+01   -0.74045E-08   -0.22352E-05   -0.74045E-08    0.65309E-11
   132    0.37391E+04   -0.40852E+02   -0.21988E-05   -0.40852E+02    0.10427E+01   -0.74062E-08   -0.21988E-05   -0.74062E-08    0.63949E-11
   133    0.37732E+04   -0.41212E+02   -0.21632E-05   -0.41212E+02    0.10453E+01   -0.73956E-08   -0.21632E-05   -0.73956E-08    0.62624E-11
   134    0.38072E+04   -0.41551E+02   -0.21282E-05   -0.41551E+02    0.10475E+01   -0.73736E-08   -0.21282E-05   -0.73736E-08    0.61333E-11
   135    0.38412E+04   -0.41874E+02   -0.20940E-05   -0.41874E+02    0.10491E+01   -0.73410E-08   -0.20940E-05   -0.73410E-08    0.60077E-11
   136    0.38750E+04   -0.42177E+02   -0.20604E-05   -0.42177E+02    0.10502E+01   -0.72988E-08   -0.20604E-05   -0.72988E-08    0.58854E-11
   137    0.39088E+04   -0.42461E+02   -0.20275E-05   -0.42461E+02    0.10509E+01   -0.72479E-08   -0.20275E-05   -0.72479E-08    0.57663E-11
   138    0.39425E+04   -0.42726E+02   -0.19952E-05   -0.42726E+02    0.10511E+01   -0.71891E-08   -0.19952E-05   -0.71891E-08    0.56503E-11
   139    0.39759E+04   -0.42971E+02   -0.19636E-05   -0.42971E+02    0.10509E+01   -0.71233E-08   -0.19636E-05   -0.71233E-08    0.55373E-11
   140    0.40094E+04   -0.43196E+02   -0.19326E-05   -0.43196E+02    0.10501E+01   -0.70515E-08   -0.19326E-05   -0.70515E-08    0.54274E-11
   141    0.40426E+04   -0.43400E+02   -0.19023E-05   -0.43400E+02    0.10488E+01   -0.69744E-08   -0.19023E-05   -0.69744E-08    0.53202E-11
   142    0.40758E+04   -0.43582E+02   -0.18725E-05   -0.43582E+02    0.10471E+01   -0.68931E-08   -0.18725E-05   -0.68931E-08    0.52158E-11
   143    0.41090E+04   -0.43744E+02   -0.18433E-05   -0.43744E+02    0.10450E+01   -0.68084E-08   -0.18433E-05   -0.68084E-08    0.51141E-11
   144    0.41418E+04   -0.43884E+02   -0.18148E-05   -0.43884E+02    0.10423E+01   -0.67212E-08   -0.18148E-05   -0.67212E-08    0.50150E-11
   145    0.41745E+04   -0.44002E+02   -0.17868E-05   -0.44002E+02    0.10393E+01   -0.66324E-08   -0.17868E-05   -0.66324E-08    0.49184E-11
   146    0.42073E+04   -0.44098E+02   -0.17593E-05   -0.44098E+02    0.10358E+01   -0.65428E-08   -0.17593E-05   -0.65428E-08    0.48242E-11
   147    0.42397E+04   -0.44170E+02   -0.17325E-05   -0.44170E+02    0.10319E+01   -0.64535E-08   -0.17325E-05   -0.64535E-08    0.47324E-11
   148    0.42719E+04   -0.44220E+02   -0.17061E-05   -0.44220E+02    0.10274E+01   -0.63651E-08   -0.17061E-05   -0.63651E-08    0.46427E-11
   149    0.43040E+04   -0.44246E+02   -0.16804E-05   -0.44246E+02    0.10226E+01   -0.62788E-08   -0.16804E-05   -0.62788E-08    0.45552E-11
   150    0.43358E+04   -0.44247E+02   -0.16551E-05   -0.44247E+02    0.10174E+01   -0.61953E-08   -0.16551E-05   -0.61953E-08    0.44698E-11
   151    0.43675E+04   -0.44224E+02   -0.16303E-05   -0.44224E+02    0.10118E+01   -0.61153E-08   -0.16303E-05   -0.61153E-08    0.43863E-11
   152    0.43988E+04   -0.44178E+02   -0.16061E-05   -0.44178E+02    0.10057E+01   -0.60388E-08   -0.16061E-05   -0.60388E-08    0.43047E-11
   153    0.44300E+04   -0.44105E+02   -0.15823E-05   -0.44105E+02    0.99930E+00   -0.59654E-08   -0.15823E-05   -0.59654E-08    0.42250E-11
   154    0.44609E+04   -0.44008E+02   -0.15591E-05   -0.44008E+02    0.99253E+00   -0.58948E-08   -0.15591E-05   -0.58948E-08    0.41472E-11
   155    0.44916E+04   -0.43886E+02   -0.15363E-05   -0.43886E+02    0.98542E+00   -0.58268E-08   -0.15363E-05   -0.58268E-08    0.40712E-11
   156    0.45220E+04   -0.43739E+02   -0.15139E-05   -0.43739E+02    0.97797E+00   -0.57610E-08   -0.15139E-05   -0.57610E-08    0.39969E-11
   157    0.45522E+04   -0.43565E+02   -0.14921E-05   -0.43565E+02    0.97019E+00   -0.56972E-08   -0.14921E-05   -0.56972E-08    0.39244E-11
   158    0.45821E+04   -0.43366E+02   -0.14706E-05   -0.43366E+02    0.96214E+00   -0.56350E-08   -0.14706E-05   -0.56350E-08    0.38536E-11
   159    0.46116E+04   -0.43141E+02   -0.14496E-05   -0.43141E+02    0.95369E+00   -0.55741E-08   -0.14496E-05   -0.55741E-08    0.37844E-11
   160    0.46410E+04   -0.42889E+02   -0.14290E-05   -0.42889E+02    0.94498E+00   -0.55143E-08   -0.14290E-05   -0.55143E-08    0.37168E-11
   161    0.46701E+04   -0.42612E+02   -0.14088E-05   -0.42612E+02    0.93609E+00   -0.54553E-08   -0.14088E-05   -0.54553E-08    0.36508E-11
   162    0.46988E+04   -0.42309E+02   -0.13890E-05   -0.42309E+02    0.92688E+00   -0.53967E-08   -0.13890E-05   -0.53967E-08    0.35863E-11
   163    0.47274E+04   -0.41979E+02   -0.13697E-05   -0.41979E+02    0.91741E+00   -0.53382E-08   -0.13697E-05   -0.53382E-08    0.35233E-11
   164    0.47556E+04   -0.41623E+02   -0.13506E-05   -0.41623E+02    0.90776E+00   -0.52796E-08   -0.13506E-05   -0.52796E-08    0.34618E-11
   165    0.47835E+04   -0.41240E+02   -0.13320E-05   -0.41240E+02    0.89786E+00   -0.52205E-08   -0.13320E-05   -0.52205E-08    0.34017E-11
   166    0.48111E+04   -0.40830E+02   -0.13137E-05   -0.40830E+02    0.88786E+00   -0.51607E-08   -0.13137E-05   -0.51607E-08    0.33430E-11
   167    0.48385E+04   -0.40395E+02   -0.12958E-05   -0.40395E+02    0.87754E+00   -0.50998E-08   -0.12958E-05   -0.50998E-08    0.32856E-11
